Gene	Product
insH10	IS5 transposase and trans-activator
insH11	IS5 transposase and trans-activator
insH2	IS5 transposase and trans-activator
insH21	IS5 transposase and trans-activator
insH3	IS5 transposase and trans-activator
insH4	IS5 transposase and trans-activator
insH5	IS5 transposase and trans-activator
insH6	IS5 transposase and trans-activator
insH7	IS5 transposase and trans-activator
insH8	IS5 transposase and trans-activator
insH9	IS5 transposase and trans-activator
insI1	IS30 transposase
insI2	IS30 transposase
insI3	IS30 transposase
insJ	insertion element IS150 protein InsA
insK	IS150 conserved protein InsB
insL1	IS186/IS421 family transposase
insL2	IS186/IS421 transposase
insL3	putative IS186/IS421 transposase
insN	CP4-6 prophage; IS911A regulator fragment
insO	KpLE2 phage-like element; IS911B regulator
insQ	putative RNA-guided DNA endonuclease InsQ
intA	integrase IntA
intD	putative integrase
intE	putative integrase
intF	putative phage integrase
intR	putative integrase
intS	prophage CPS-53 integrase
intZ	putative phage integrase IntZ
iprA	putative DNA-binding transcriptional regulator
iraD	anti-adaptor protein IraD
iraM	anti-adaptor protein IraM
iraP	anti-adaptor protein IraP
iroK	protein IroK
iscA	iron-sulfur cluster insertion protein IscA
iscR	DNA-binding transcriptional dual regulator IscR
iscS	cysteine desulfurase IscS
iscU	scaffold protein for [Fe-S] cluster assembly
iscX	accessory [Fe-S] cluster assembly protein IscX
ispA	geranyl diphosphate/farnesyl diphosphate
ispB	all-trans-octaprenyl-diphosphate synthase
ispD	2-C-methyl-D-erythritol 4-phosphate
ispE	4-(cytidine
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate
ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate
ispU	ditrans,polycis-undecaprenyl-diphosphate
ispZ	small regulatory RNA IspZ
isrC	small RNA IsrC
istR	small RNA IstR-2
istR	small regulatory RNA IstR-1
ivbL	ilvBN operon leader peptide
ivy	periplasmic chaperone, inhibitor of vertebrate
katE	catalase HPII
katG	catalase/hydroperoxidase HPI
kbaY	tagatose-1,6-bisphosphate aldolase 1
kbaZ	putative tagatose-1,6-bisphosphate aldolase 1
kbl	2-amino-3-ketobutyrate CoA ligase
kbp	K(+) binding protein
kch	K(+) channel Kch
kdgK	2-dehydro-3-deoxygluconokinase
kdgR	DNA-binding transcriptional repressor KdgR
kdgT	2-dehydro-3-deoxy-D-gluconate:H(+) symporter
kdpA	K(+) transporting P-type ATPase subunit KdpA
kdpB	K(+) transporting P-type ATPase subunit KdpB
kdpC	K(+) transporting P-type ATPase subunit KdpC
kdpD	sensor histidine kinase KdpD
kdpE	DNA-binding transcriptional dual regulator KdpE
kdpF	K(+) transporting P-type ATPase subunit KdpF
kdsA	3-deoxy-D-manno-octulosonate 8-phosphate
kdsB	3-deoxy-manno-octulosonate cytidylyltransferase
kdsC	3-deoxy-D-manno-octulosonate 8-phosphate
kdsD	D-arabinose 5-phosphate isomerase KdsD
kduD	2-keto-3-deoxy-D-gluconate dehydrogenase
kduI	5-dehydro-4-deoxy-D-glucuronate isomerase
kefB	K(+) : H(+) antiporter KefB
kefC	K(+) : H(+) antiporter KefC
kefF	regulator of KefC-mediated potassium transport
kefG	glutathione-regulated potassium-efflux system
kgtP	alpha-ketoglutarate:H(+) symporter
kilR	inhibitor of FtsZ
kilS	small RNA KilS
kptA	RNA 2'-phosphotransferase
kup	K(+):H(+) symporter Kup
lacA	galactoside O-acetyltransferase
lacI	DNA-binding transcriptional repressor LacI
lacY	lactose permease
lacZ	beta-galactosidase
lamB	maltose outer membrane channel/phage lambda
lapA	lipopolysaccharide assembly protein A
lapB	lipopolysaccharide assembly protein B
lapC	lipopolysaccharide signal transducer LapC
ldcA	murein tetrapeptide carboxypeptidase
ldcC	lysine decarboxylase 2
ldhA	D-lactate dehydrogenase
ldrA	small toxic polypeptide LdrA
ldrB	small toxic polypeptide LdrB
ldrC	small toxic polypeptide LdrC
ldrD	small toxic polypeptide LdrD
ldtA	L,D-transpeptidase LdtA
ldtB	L,D-transpeptidase LdtB
ldtC	L,D-transpeptidase LdtC
ldtD	L,D-transpeptidase LdtD
ldtE	L,D-transpeptidase LdtE
lepA	30S ribosomal subunit biogenesis factor LepA
lepB	signal peptidase I
letA	intermembrane transport protein LetA
letB	lipophilic envelope spanning tunnel
leuA	2-isopropylmalate synthase
leuB	3-isopropylmalate dehydrogenase
leuC	3-isopropylmalate dehydratase subunit LeuC
leuD	3-isopropylmalate dehydratase subunit LeuD
leuE	leucine exporter
leuL	leu operon leader peptide
leuO	DNA-binding transcriptional dual regulator LeuO
leuP	tRNA-Leu
leuQ	tRNA-Leu
leuS	leucine--tRNA ligase
leuT	tRNA-Leu
leuU	tRNA-Leu
leuV	tRNA-Leu
leuW	tRNA-Leu
leuX	tRNA-Leu
leuZ	tRNA-Leu
lexA	DNA-binding transcriptional repressor LexA
lfgA	putative antirestriction protein
lfgB	CP4-57 prophage protease
lgoD	L-galactonate oxidoreductase
lgoR	putative DNA-binding transcriptional regulator
lgoT	galactonate:H(+) symporter
lgt	phosphatidylglycerol--prolipoprotein
lhgD	L-2-hydroxyglutarate dehydrogenase
lhr	ATP-dependent helicase Lhr
ligA	DNA ligase
ligB	DNA ligase B
lipA	lipoyl synthase
lipB	lipoyl(octanoyl) transferase
lit	cell death peptidase Lit
livF	branched chain amino acid/phenylalanine ABC
livG	branched chain amino acid/phenylalanine ABC
livH	branched chain amino acid/phenylalanine ABC
livJ	branched chain amino acid/phenylalanine ABC
livK	L-leucine/L-phenylalanine ABC transporter
livM	branched chain amino acid/phenylalanine ABC
lldD	L-lactate dehydrogenase
lldP	lactate/glycolate:H(+) symporter LldP
lldR	DNA-binding transcriptional dual regulator LldR
lnt	apolipoprotein N-acyltransferase
loiP	metalloprotease LoiP
lolA	outer membrane lipoprotein carrier protein
lolB	outer membrane lipoprotein LolB
lolC	lipoprotein release complex - inner membrane
lolD	lipoprotein release complex - ATP binding
lolE	lipoprotein release complex - inner membrane
lomR	Rac prophage; protein LomR_1
lon	Lon protease
lpd	lipoamide dehydrogenase
lplA	lipoate--protein ligase A
lplT	lysophospholipid transporter
lpoA	outer membrane lipoprotein - activator of MrcA
lpoB	outer membrane lipoprotein - activator of MrcB
lpp	murein lipoprotein
lptA	lipopolysaccharide transport system protein
lptB	lipopolysaccharide transport system ATP binding
lptC	lipopolysaccharide transport system protein
lptD	lipopolysaccharide assembly protein LptD
lptE	lipopolysaccharide assembly protein LptE
lptF	lipopolysaccharide transport system protein
lptG	lipopolysaccharide transport system protein
lptM	LptD oxidative maturation-associated
lpxA	acyl-[acyl-carrier-protein]--UDP-N-
lpxB	lipid A disaccharide synthase
lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase
lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamine
lpxH	UDP-2,3-diacylglucosamine diphosphatase
lpxK	tetraacyldisaccharide 4'-kinase
lpxL	lauroyl acyltransferase
lpxM	Lipid A biosynthesis myristoyltransferase
lpxP	palmitoleoyl acyltransferase
lpxT	lipid A-core phosphotransferase
lrhA	DNA-binding transcriptional dual regulator LrhA
lrp	DNA-binding transcriptional dual regulator Lrp
lspA	lipoprotein signal peptidase
lsrA	Autoinducer-2 ABC transporter ATP binding
lsrB	Autoinducer-2 ABC transporter periplasmic
lsrC	Autoinducer-2 ABC transporter membrane subunit
lsrD	Autoinducer-2 ABC transporter membrane subunit
lsrF	3-hydroxy-2,4-pentadione 5-phosphate thiolase
lsrG	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione
lsrK	autoinducer-2 kinase
lsrR	DNA-binding transcriptional repressor LsrR
ltaE	low-specificity L-threonine aldolase
luxS	S-ribosylhomocysteine lyase
lysA	diaminopimelate decarboxylase
lysC	aspartate kinase III
lysO	L-lysine/thialysine exporter
lysP	lysine:H(+) symporter
lysQ	tRNA-Lys
lysR	DNA-binding transcriptional dual regulator LysR
lysS	lysine--tRNA ligase
lysT	tRNA-Lys
lysU	lysyl-tRNA synthetase
lysV	tRNA-Lys
lysW	tRNA-Lys
lysY	tRNA-Lys
lysZ	tRNA-Lys
lyxK	L-xylulose kinase
maa	maltose O-acetyltransferase
macA	ABC-type tripartite efflux pump membrane fusion
macB	ABC-type tripartite efflux pump ATP
maeA	malate dehydrogenase
maeB	malate dehydrogenase
mak	fructokinase
malE	maltose ABC transporter periplasmic binding
malF	maltose ABC transporter membrane subunit MalF
malG	maltose ABC transporter membrane subunit MalG
malH	small regulatory RNA MalH
malI	DNA-binding transcriptional repressor MalI
malK	maltose ABC transporter ATP binding subunit
malM	maltose regulon periplasmic protein
malP	maltodextrin phosphorylase
malQ	4-alpha-glucanotransferase
malS	alpha-amylase
malT	DNA-binding transcriptional activator MalT
malX	PTS enzyme IIBC component MalX
malY	negative regulator of MalT
malZ	maltodextrin glucosidase
manA	mannose-6-phosphate isomerase
manX	mannose-specific PTS enzyme IIAB component
manY	mannose-specific PTS enzyme IIC component
manZ	mannose-specific PTS enzyme IID component
maoP	macrodomain Ori protein
map	methionine aminopeptidase
marA	DNA-binding transcriptional dual regulator MarA
marB	multiple antibiotic resistance protein MarB
marC	inner membrane protein MarC
marR	DNA-binding transcriptional repressor MarR
matA	DNA-binding transcriptional dual regulator MatA
matP	macrodomain Ter protein
mazE	antitoxin of the MazF-MazE toxin-antitoxin
mazF	endoribonuclease toxin MazF
mazG	nucleoside triphosphate pyrophosphohydrolase
mbiA	uncharacterized protein MbiA
mcaS	small regulatory RNA McaS
mcbA	DUF1471 domain-containing protein McbA
mcbR	DNA-binding transcriptional dual regulator McbR
mcrA	Type IV methyl-directed restriction enzyme
mcrB	5-methylcytosine-specific restriction enzyme
mcrB	mcrB-S
mcrC	Type IV methyl-directed restriction enzyme
mdaB	NADPH:quinone oxidoreductase MdaB
mdfA	multidrug efflux pump MdfA/Na(+):H(+)
mdh	malate dehydrogenase
mdlA	ABC transporter family protein MdlA
mdlB	ABC transporter family protein MdlB
mdtA	multidrug efflux pump membrane fusion protein
mdtB	multidrug efflux pump RND permease subunit MdtB
mdtC	multidrug efflux pump RND permease subunit MdtC
mdtD	putative multidrug efflux pump MdtD
mdtE	multidrug efflux pump membrane fusion protein
mdtF	multidrug efflux pump RND permease MdtF
mdtG	efflux pump MdtG
mdtH	multidrug efflux pump MdtH
mdtI	multidrug/spermidine efflux pump membrane
mdtJ	multidrug/spermidine efflux pump membrane
mdtK	multidrug efflux pump MdtK
mdtL	efflux pump MdtL
mdtM	multidrug efflux pump/bile salt:H(+)
mdtN	putative multidrug efflux pump membrane fusion
mdtO	putative multidrug efflux pump subunit MdtO
mdtP	putative multidrug efflux pump outer membrane
mdtU	protein MdtU
melA	alpha-galactosidase
melB	melibiose:H(+)/Na(+)/Li(+) symporter
melR	DNA-binding transcriptional dual regulator MelR
menA	1,4-dihydroxy-2-naphthoate
menB	1,4-dihydroxy-2-naphthoyl-CoA synthase
menC	o-succinylbenzoate synthase
menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-
menE	o-succinylbenzoate--CoA ligase
menF	isochorismate synthase MenF
menH	2-succinyl-6-hydroxy-2,
menI	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
mepA	peptidoglycan DD-endopeptidase/peptidoglycan
mepH	peptidoglycan endopeptidase/peptidoglycan
mepK	peptidoglycan L,D-endopeptidase
mepM	peptidoglycan endopeptidase MepM
mepS	peptidoglycan endopeptidase/peptidoglycan
metA	homoserine O-succinyltransferase
metB	O-succinylhomoserine(thiol)-lyase/O-
metC	cystathionine beta-lyase/L-cysteine
metE	cobalamin-independent homocysteine
metF	5,10-methylenetetrahydrofolate reductase
metG	methionine--tRNA ligase
metH	cobalamin-dependent methionine synthase
metI	L-methionine/D-methionine ABC transporter
metJ	DNA-binding transcriptional repressor MetJ
metK	methionine adenosyltransferase
metL	fused aspartate kinase/homoserine dehydrogenase
metN	L-methionine/D-methionine ABC transporter ATP
metQ	L-methionine/D-methionine ABC transporter
metR	DNA-binding transcriptional dual regulator MetR
metT	tRNA-Met
metU	tRNA-Met
metV	tRNA-Met
metW	tRNA-Met
metY	tRNA-Met
metZ	tRNA-Met
mfd	transcription-repair coupling factor
mglA	D-galactose/methyl-galactoside ABC transporter
mglB	D-galactose/methyl-galactoside ABC transporter
mglC	D-galactose/methyl-galactoside ABC transporter
mgrB	PhoQ kinase inhibitor
mgrR	small regulatory RNA MgrR
mgsA	methylglyoxal synthase
mgtA	Mg(2(+)) importing P-type ATPase
mgtL	leader peptide MgtL
mgtS	small protein MgtS
mgtT	protein MgtT
mhpA	3-(3-hydroxyphenyl)propanoate hydroxylase
mhpB	3-carboxyethylcatechol 2,3-dioxygenase
mhpC	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
mhpD	2-hydroxypentadienoate hydratase
mhpE	4-hydroxy-2-oxovalerate aldolase
mhpF	acetaldehyde dehydrogenase (acetylating) MhpF
mhpR	DNA-binding transcriptional activator MhpR
mhpT	3-hydroxyphenylpropionate/3-
miaA	tRNA dimethylallyltransferase
miaB	isopentenyl-adenosine A37 tRNA methylthiolase
micA	small regulatory RNA MicA
micC	small regulatory RNA MicC
micF	small regulatory RNA MicF
micL	small regulatory RNA MicL
minC	Z-ring positioning protein MinC
minD	Z-ring positioning protein MinD
minE	Z-ring positioning protein MinE
mioC	flavoprotein MioC
mipA	MltA-interacting protein
mlaA	intermembrane phospholipid transport system -
mlaB	intermembrane phospholipid transport system
mlaC	intermembrane phospholipid transport system -
mlaD	intermembrane phospholipid transport system,
mlaE	intermembrane phospholipid transport system,
mlaF	intermembrane phospholipid transport system, ATP
mlc	DNA-binding transcriptional repressor Mlc
mliC	inhibitor of c-type lysozyme, putative
mlrA	DNA-binding transcriptional activator MlrA
mltA	membrane-bound lytic murein transglycosylase A
mltB	membrane-bound lytic murein transglycosylase B
mltC	membrane-bound lytic murein transglycosylase C
mltD	membrane-bound lytic murein transglycosylase D
mltF	membrane-bound lytic murein transglycosylase F
mltG	endolytic murein transglycosylase
mmuM	homocysteine S-methyltransferase
mmuP	S-methyl-L-methionine transporter
mnaT	L-amino acid N-acyltransferase
mngA	2-O-alpha-mannosyl-D-glycerate specific PTS
mngB	alpha-mannosidase
mngR	DNA-binding transcriptional repressor MngR
mnmA	tRNA-specific 2-thiouridylase
mnmC	fused tRNA 5-aminomethyl-2-thiouridylate
mnmE	5-carboxymethylaminomethyluridine-tRNA synthase
mnmG	5-carboxymethylaminomethyluridine-tRNA synthase
mntH	Mn(2(+)):H(+) symporter
mntP	Mn(2(+)) exporter
mntR	DNA-binding transcriptional dual regulator MntR
mntS	small protein MntS
moaA	GTP 3',8'-cyclase
moaB	protein MoaB
moaC	cyclic pyranopterin monophosphate synthase
moaD	molybdopterin synthase sulfur carrier subunit
moaE	molybdopterin synthase catalytic subunit
mobA	molybdenum cofactor guanylyltransferase
mobB	molybdopterin-guanine dinucleotide biosynthesis
mocA	molybdenum cofactor cytidylyltransferase
modA	molybdate ABC transporter periplasmic binding
modB	molybdate ABC transporter membrane subunit
modC	molybdate ABC transporter ATP binding subunit
modE	DNA-binding transcriptional dual regulator ModE
modF	ABC family protein ModF
moeA	molybdopterin molybdotransferase
moeB	molybdopterin-synthase adenylyltransferase
mog	molybdopterin adenylyltransferase
mokB	putative regulatory protein MokB
mokC	regulatory protein MokC
motA	motility protein A
motB	motility protein B
motR	small RNA MotR
mpaA	murein tripeptide amidase A
mpl	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-
mppA	murein tripeptide ABC transporter periplasmic
mprA	DNA-binding transcriptional regulator MprA
mqo	malate:quinone oxidoreductase
mqsA	antitoxin of the MqsRA TA system/DNA-binding
mqsR	mRNA interferase toxin MqsR
mraY	phospho-N-acetylmuramoyl-pentapeptide-
mraZ	DNA-binding transcriptional repressor MraZ
mrcA	peptidoglycan glycosyltransferase/peptidoglycan
mrcB	PBP-1Bgamma
mrcB	peptidoglycan glycosyltransferase/peptidoglycan
mrdA	peptidoglycan DD-transpeptidase MrdA
mrdB	peptidoglycan glycosyltransferase MrdB
mreB	dynamic cytoskeletal protein MreB
mreC	cell shape determining protein MreC
mreD	cell shape determining protein MreD
mrp	P-loop NTPase family protein Mrp
mrr	Type IV methyl-directed restriction enzyme
msbA	ATP-binding lipopolysaccharide transport
mscK	potassium dependent, small conductance
mscL	large conductance mechanosensitive channel
mscM	miniconductance mechanosensitive channel MscM
mscS	small conductance mechanosensitive channel MscS
msrA	methionine sulfoxide reductase A
msrB	methionine sulfoxide reductase B
msrC	free methionine-(R)-sulfoxide reductase
msrP	protein-L-methionine sulfoxide reductase
msrQ	membrane-bound flavocytochrome MsrQ
msyB	acidic protein MsyB
mtfA	Mlc titration factor
mtgA	peptidoglycan glycosyltransferase MtgA
mtlA	mannitol-specific PTS enzyme IICBA component
mtlD	mannitol-1-phosphate 5-dehydrogenase
mtlR	transcriptional repressor MtlR
mtn	5'-methylthioadenosine/S-adenosylhomocysteine
mtr	tryptophan:H(+) symporter Mtr
mug	stationary phase mismatch/uracil DNA
mukB	chromosome partitioning protein MukB
mukE	chromosome partitioning protein MukE
mukF	chromosome partitioning protein MukF
murA	UDP-N-acetylglucosamine
murB	UDP-N-acetylenolpyruvoylglucosamine reductase
murC	UDP-N-acetylmuramate--L-alanine ligase
murD	UDP-N-acetylmuramoyl-L-alanine--D-glutamate
murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,
murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-
murG	N-acetylglucosaminyl transferase
murI	glutamate racemase
murJ	lipid II flippase MurJ
murP	N-acetylmuramic acid-specific PTS enzyme IICB
murQ	N-acetylmuramic acid 6-phosphate etherase
murR	DNA-binding transcriptional dual regulator MurR
mutH	DNA mismatch repair protein MutH
mutL	DNA mismatch repair protein MutL
mutM	DNA-formamidopyrimidine glycosylase
mutS	DNA mismatch repair protein MutS
mutT	8-oxo-dGTP diphosphatase
mutY	adenine DNA glycosylase
mzrA	modulator protein MzrA
nac	DNA-binding transcriptional dual regulator Nac
nadA	quinolinate synthase
nadB	L-aspartate oxidase
nadC	quinolinate phosphoribosyltransferase
nadD	nicotinate-nucleotide adenylyltransferase
nadE	NH3-dependent NAD(+) synthetase
nadK	NAD kinase
nadR	DNA-binding transcriptional repressor/NMN
nagA	N-acetylglucosamine-6-phosphate deacetylase
nagB	glucosamine-6-phosphate deaminase
nagC	DNA-binding transcriptional dual regulator NagC
nagE	N-acetylglucosamine-specific PTS enzyme IIABC
nagK	N-acetyl-D-glucosamine kinase
nagZ	beta-N-acetylglucosaminidase
nanA	N-acetylneuraminate lyase
nanC	N-acetylneuraminate outer membrane channel
nanE	putative N-acetylmannosamine-6-phosphate
nanK	N-acetylmannosamine kinase
nanM	N-acetylneuraminate mutarotase
nanQ	N-acetylneuraminate anomerase
nanR	DNA-binding transcriptional dual regulator NanR
nanS	N-acetyl-9-O-acetylneuraminate esterase
nanT	N-acetylneuraminate:H(+) symporter
nanX	2,7-anhydro-N-acetylneuraminate transporter
nanY	2,7-anhydro-N-acetylneuraminate hydratase
napA	periplasmic nitrate reductase subunit NapA
napB	periplasmic nitrate reductase cytochrome c550
napC	periplasmic nitrate reductase cytochrome c
napD	NapA signal peptide-binding chaperone NapD
napF	ferredoxin-type protein
napG	ferredoxin-type protein NapG
napH	ferredoxin-type protein NapH
narG	nitrate reductase A subunit alpha
narH	nitrate reductase A subunit beta
narI	nitrate reductase A subunit gamma
narJ	nitrate reductase 1 molybdenum cofactor assembly
narK	nitrate:nitrite antiporter NarK
narL	DNA-binding transcriptional dual regulator NarL
narP	DNA-binding transcriptional dual regulator NarP
narQ	sensor histidine kinase NarQ
narS	putative small regulatory RNA NarS
narU	nitrate/nitrite transporter NarU
narV	nitrate reductase Z subunit gamma
narW	NarW, putative private chaperone for NarZ
narX	sensor histidine kinase NarX
narY	nitrate reductase Z subunit beta
narZ	nitrate reductase Z subunit alpha
ndh	NADH:quinone oxidoreductase II
ndk	nucleoside diphosphate kinase
nei	endonuclease VIII
nemA	N-ethylmaleimide reductase
nemR	DNA-binding transcriptional repressor NemR
nepI	purine ribonucleoside exporter
nfeF	NADPH-dependent Fe(3(+))-chelate reductase
nfeR	DNA-binding transcriptional repressor NfeR
nfi	endonuclease V
nfo	endonuclease IV
nfrA	exopolysaccharide secretion system outer
nfrB	cyclic di-3',5'-guanylate-activated
nfsA	NADPH-dependent nitro/quinone reductase NfsA
nfsB	NAD(P)H-dependent nitroreductase NfsB
nfuA	iron-sulfur cluster carrier protein NfuA
nhaA	Na(+):H(+) antiporter NhaA
nhaB	Na(+):H(+) antiporter NhaB
nhaR	DNA-binding transcriptional activator NhaR
nhoA	arylamine N-acetyltransferase
nikA	Ni(2(+)) ABC transporter periplasmic binding
nikB	Ni(2(+)) ABC transporter membrane subunit NikB
nikC	Ni(2(+)) ABC transporter membrane subunit NikC
nikD	Ni(2(+)) ABC transporter ATP binding subunit
nikE	Ni(2(+)) ABC transporter ATP binding subunit
nikR	DNA-binding transcriptional repressor NikR
nimR	DNA-binding transcriptional repressor NimR
nimT	2-nitroimidazole exporter
ninE	NinE family prophage protein
nirB	nitrite reductase (NADH) large subunit
nirC	nitrite transporter NirC
nirD	nitrite reductase (NADH) small subunit
nlpA	lipoprotein-28
nlpC	NlpC/P60 family lipoprotein NlpC
nlpD	murein hydrolase activator NlpD
nlpE	sensor lipoprotein NlpE
nlpI	lipoprotein NlpI
nmpC	DLP12 prophage; putative outer membrane porin
nnr	NAD(P)HX epimerase/NAD(P)HX dehydratase
nohA	putative prophage DNA-packaging protein NohA
nohD	putative DNA-packaging protein NohD
norR	DNA-binding transcriptional dual regulator NorR
norV	anaerobic nitric oxide reductase
norW	NADH:flavorubredoxin reductase
npr	phosphorelay protein NPr
nrdA	ribonucleoside-diphosphate reductase 1 subunit
nrdB	ribonucleoside-diphosphate reductase 1 subunit
nrdD	anaerobic ribonucleoside-triphosphate reductase
nrdE	ribonucleoside-diphosphate reductase 2 subunit
nrdF	ribonucleoside-diphosphate reductase 2 subunit
nrdG	anaerobic ribonucleoside-triphosphate reductase
nrdH	glutaredoxin-like protein NrdH
nrdI	dimanganese-tyrosyl radical cofactor maintenance
nrdR	NrdR transcriptional repressor
nrfA	cytochrome c552 nitrite reductase
nrfB	periplasmic nitrite reductase penta-heme c-type
nrfC	putative menaquinol-cytochrome c reductase
nrfD	putative menaquinol-cytochrome c reductase
nrfE	putative cytochrome c-type biogenesis protein
nrfF	putative formate-dependent nitrite reductase
nrfG	putative formate-dependent nitrite reductase
nsrR	DNA-binding transcriptional regulator NsrR
nth	endonuclease III
nudB	dihydroneopterin triphosphate diphosphatase
nudC	RNA decapping hydrolase
nudE	ADP-sugar diphosphatase NudE
nudF	ADP-sugar pyrophosphatase
nudG	5-hydroxy-CTP diphosphatase
nudI	pyrimidine deoxynucleotide diphosphatase NudI
nudJ	phosphatase NudJ
nudK	GDP-mannose hydrolase
nudL	putative NUDIX hydrolase with low
nuoA	NADH:quinone oxidoreductase subunit A
nuoB	NADH:quinone oxidoreductase subunit B
nuoC	NADH:quinone oxidoreductase subunit CD
nuoE	NADH:quinone oxidoreductase subunit E
nuoF	NADH:quinone oxidoreductase subunit F
nuoG	NADH:quinone oxidoreductase subunit G
nuoH	NADH:quinone oxidoreductase subunit H
nuoI	NADH:quinone oxidoreductase subunit I
nuoJ	NADH:quinone oxidoreductase subunit J
nuoK	NADH:quinone oxidoreductase subunit K
nuoL	NADH:quinone oxidoreductase subunit L
nuoM	NADH:quinone oxidoreductase subunit M
nuoN	NADH:quinone oxidoreductase subunit N
nupC	nucleoside:H(+) symporter NupC
nupG	nucleoside:H(+) symporter NupG
nupX	putative nucleoside transporter
nusA	transcription termination/antitermination
nusB	transcription antitermination protein NusB
nusG	transcription termination/antitermination factor
obgE	GTPase ObgE
ogrK	prophage P2 late control protein OgrK
ogt	methylated-DNA--[protein]-cysteine
ohsC	small regulatory RNA OhsC
ompA	outer membrane protein A
ompC	outer membrane porin C
ompF	outer membrane porin F
ompG	outer membrane porin G
ompL	putative outer membrane porin L
ompN	outer membrane porin N
ompR	DNA-binding transcriptional dual regulator OmpR
ompT	omptin family outer membrane protease OmpT
ompW	outer membrane protein W
ompX	outer membrane protein X
omrA	small regulatory RNA OmrA
omrB	small regulatory RNA OmrB
opgB	phosphoglycerol transferase I
opgC	osmoregulated periplasmic glucans (OPG)
opgD	glucans biosynthesis protein D
opgE	phosphoethanolamine transferase OpgE
opgG	osmoregulated periplasmic glucans biosynthesis
opgH	osmoregulated periplasmic glucans biosynthesis
oppA	oligopeptide ABC transporter periplasmic binding
oppB	murein tripeptide ABC transporter/oligopeptide
oppC	murein tripeptide ABC transporter/oligopeptide
oppD	murein tripeptide ABC transporter/oligopeptide
oppF	murein tripeptide ABC transporter/oligopeptide
orn	oligoribonuclease
ortT	orphan toxin OrtT
osmB	osmotically-inducible lipoprotein OsmB
osmC	osmotically inducible peroxiredoxin OsmC
osmE	osmotically-inducible lipoprotein OsmE
osmF	glycine betaine ABC transporter periplasmic
osmY	osmotically inducible protein Y
otsA	trehalose-6-phosphate synthase
otsB	trehalose-6-phosphate phosphatase
oxc	oxalyl-CoA decarboxylase
oxyR	DNA-binding transcriptional dual regulator OxyR
oxyS	small regulatory RNA OxyS
paaA	phenylacetyl-CoA 1,2-epoxidase, monooxygenase
paaB	phenylacetyl-CoA 1,2-epoxidase subunit B
paaC	phenylacetyl-CoA 1,2-epoxidase, structural
paaD	phenylacetate degradation protein
paaE	phenylacetyl-CoA 1,2-epoxidase, reductase
paaF	putative 2,3-dehydroadipyl-CoA hydratase
paaG	putative ring 1,2-epoxyphenylacetyl-CoA
paaH	3-hydroxyadipyl-CoA dehydrogenase
paaI	phenylacetyl-CoA thioesterase
paaJ	beta-ketoadipyl-CoA thiolase
paaK	phenylacetate-CoA ligase
paaX	DNA-binding transcriptional repressor PaaX
paaY	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA
paaZ	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde
pabA	aminodeoxychorismate synthase subunit 2
pabB	aminodeoxychorismate synthase subunit 1
pabC	aminodeoxychorismate lyase
paeA	putative cadaverine/putrescine exporter
pagP	Lipid A palmitoyltransferase
pal	peptidoglycan-associated outer membrane
panB	3-methyl-2-oxobutanoate
panC	pantothenate synthetase
panD	aspartate 1-decarboxylase proenzyme
panE	2-dehydropantoate 2-reductase
panF	pantothenate:Na(+) symporter
panZ	PanD maturation factor
paoA	aldehyde dehydrogenase, Fe-S subunit
paoB	aldehyde dehydrogenase, FAD-binding Fe-S
paoC	aldehyde dehydrogenase, molybdenum
paoD	molybdenum cofactor insertion chaperone PaoD
parC	DNA topoisomerase IV subunit A
parE	DNA topoisomerase IV subunit B
patA	putrescine aminotransferase
patD	gamma-aminobutyraldehyde dehydrogenase
patZ	peptidyl-lysine N-acetyltransferase
pbpC	peptidoglycan glycosyltransferase PbpC
pbpG	peptidoglycan DD-endopeptidase PbpG
pck	phosphoenolpyruvate carboxykinase (ATP)
pcm	protein-L-isoaspartate O-methyltransferase
pcnB	poly(A) polymerase I
pdeA	putative cyclic di-GMP phosphodiesterase PdeA
pdeB	cyclic di-GMP phosphodiesterase PdeB
pdeC	cyclic di-GMP phosphodiesterase PdeC
pdeD	putative cyclic di-GMP phosphodiesterase PdeD
pdeF	cyclic di-GMP phosphodiesterase PdeF
pdeG	putative cyclic di-GMP phosphodiesterase PdeG
pdeH	cyclic di-GMP phosphodiesterase PdeH
pdeI	putative cyclic di-GMP phosphodiesterase PdeI
pdeK	c-di-GMP phosphodiesterase PdeK
pdeL	DNA-binding transcriptional regulator/c-di-GMP
pdeN	putative c-di-GMP phosphodiesterase PdeN
