Gene	Product
cheZ	chemotaxis protein CheZ
chiA	endochitinase
chiP	chitooligosaccharide outer membrane channel
chiQ	lipoprotein ChiQ
chiX	small regulatory RNA ChiX
chiZ	small regulatory RNA ChiZ
cho	excinuclease Cho
chpB	endoribonuclease toxin ChpB
chpS	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin
cirA	Fe-catecholate outer membrane transporter CirA
citC	citrate lyase synthetase
citD	citrate lyase acyl carrier protein
citE	citrate lyase beta subunit
citF	citrate lyase alpha subunit
citG	triphosphoribosyl-dephospho-CoA synthase
citR	DNA-binding transcriptional repressor CitR
citT	citrate:succinate antiporter
citX	apo-citrate lyase phosphoribosyl-dephospho-CoA
clcA	chloride:H(+) antiporter ClcA
clcB	putative chloride:H(+) antiporter ClcB
clpA	ATP-dependent Clp protease ATP-binding subunit
clpB	ClpB80
clpB	chaperone protein ClpB
clpP	ATP-dependent Clp protease proteolytic subunit
clpS	specificity factor for ClpA-ClpP
clpX	ATP-dependent Clp protease ATP-binding subunit
clsA	cardiolipin synthase A
clsB	cardiolipin synthase B
clsC	cardiolipin synthase C
cmk	cytidylate kinase
cmoA	carboxy-S-adenosyl-L-methionine synthase
cmoB	tRNA U34 carboxymethyltransferase
cmoM	tRNA cmo(5)U34 methyltransferase
cmtA	mannitol-specific PTS enzyme IICB component
cmtB	mannitol-specific PTS enzyme IIA component CmtB
cnoX	chaperedoxin
cnu	H-NS- and StpA-binding protein
coaA	pantothenate kinase
coaD	pantetheine-phosphate adenylyltransferase
coaE	dephospho-CoA kinase
cobB	CobB-S
cobB	protein-lysine
cobC	putative adenosylcobalamin
cobS	cobalamin 5'-phosphate synthase
cobT	nicotinate-nucleotide--dimethylbenzimidazole
cobU	cobinamide-P guanylyltransferase/cobinamide
codA	cytosine/isoguanine deaminase
codB	cytosine transporter
cof	HMP-PP phosphatase
comR	DNA-binding transcriptional repressor ComR
copA	Cu(+) exporting P-type ATPase
copA	soluble Cu(+) chaperone
corA	Ni(2(+))/Co(2(+))/Mg(2(+)) transporter
cpdA	cAMP phosphodiesterase
cpdB	2',3'-cyclic-nucleotide
cpoB	cell division coordinator CpoB
cpsB	mannose-1-phosphate guanylyltransferase
cpsG	phosphomannomutase
cpxA	sensor histidine kinase CpxA
cpxP	periplasmic protein CpxP
cpxQ	small regulatory RNA CpxQ
cpxR	DNA-binding transcriptional dual regulator CpxR
cra	DNA-binding transcriptional regulator Cra
crcB	F(-) channel
creA	PF05981 family protein CreA
creB	DNA-binding transcriptional regulator CreB
creC	sensory histidine kinase CreC
creD	putative inner membrane protein CreD
crl	RNA polymerase holoenzyme assembly factor Crl
crp	DNA-binding transcriptional dual regulator CRP
crr	Enzyme IIA(Glc)
csdA	cysteine sulfinate desulfinase
csdE	sulfur acceptor protein CsdE
csgA	curlin
csgB	curlin, minor subunit
csgC	curlin chaperone
csgD	DNA-binding transcriptional dual regulator CsgD
csgE	curli assembly component CsgE
csgF	curli assembly component CsgF
csgG	curli secretion channel
csgI	curli synthesis inhibitor
csiE	stationary phase-inducible protein CsiE
cspA	cold shock protein CspA
cspB	cold shock-like protein CspB
cspC	transcription antiterminator and regulator of
cspD	DNA replication inhibitor CspD
cspE	transcription antiterminator and regulator of
cspF	cold shock-like protein CspF
cspG	cold shock protein CspG
cspH	CspA family protein CspH
cspI	cold shock-like protein CspI
csqR	DNA-binding transcriptional dual regulator CsqR
csrA	carbon storage regulator
csrB	small regulatory RNA CsrB
csrC	small regulatory RNA CsrC
csrD	regulator of CsrB and CsrC decay
cstA	pyruvate transporter CstA
cueO	multicopper oxidase CueO
cueR	DNA-binding transcriptional dual regulator CueR
curA	NADPH-dependent curcumin/dihydrocurcumin
cusA	copper/silver export system RND permease
cusB	copper/silver export system membrane fusion
cusC	copper/silver export system outer membrane
cusF	copper/silver export system periplasmic binding
cusR	DNA-binding transcriptional activator CusR
cusS	sensor histidine kinase CusS
cutA	copper binding protein CutA
cutC	PF03932 family protein CutC
cvpA	colicin V production protein
cvrA	putative K(+):H(+) antiporter
cyaA	adenylate cyclase
cyaR	small regulatory RNA CyaR
cyaY	frataxin CyaY
cybB	superoxide oxidase
cycA	D-serine/alanine/glycine:H(+)symporter
cydA	cytochrome bd-I subunit 1
cydB	cytochrome bd-I subunit 2
cydC	heme ABC transporter subunit CydC
cydD	heme ABC transporter subunit CydD
cydH	cytochrome bd-I accessory subunit CydH
cydX	cytochrome bd-I accessory subunit CydX
cynR	DNA-binding transcriptional dual regulator CynR
cynS	cyanase
cynT	carbonic anhydrase 1
cynX	cyanate transporter
cyoA	cytochrome bo3 subunit 2
cyoB	cytochrome bo3 subunit 1
cyoC	cytochrome bo3 subunit 3
cyoD	cytochrome bo3 subunit 4
cyoE	heme O synthase
cysA	sulfate/thiosulfate ABC transporter ATP binding
cysB	DNA-binding transcriptional dual regulator CysB
cysC	adenylyl-sulfate kinase
cysD	sulfate adenylyltransferase subunit 2
cysE	serine acetyltransferase
cysG	siroheme synthase
cysH	phosphoadenosine phosphosulfate reductase
cysI	sulfite reductase, hemoprotein subunit
cysJ	sulfite reductase, flavoprotein subunit
cysK	cysteine synthase A
cysM	cysteine synthase B
cysN	sulfate adenylyltransferase subunit 1
cysP	thiosulfate/sulfate ABC transporter periplasmic
