Gene	Product	Virulence?
baeS	sensor histidine kinase BaeS	No
bamA	outer membrane protein assembly factor BamA	No
bamB	outer membrane protein assembly factor BamB	No
bamC	outer membrane protein assembly factor BamC	No
bamD	outer membrane protein assembly factor BamD	No
bamE	outer membrane protein assembly factor BamE	No
barA	sensor histidine kinase BarA	No
basR	DNA-binding transcriptional dual regulator BasR	No
basS	sensor histidine kinase BasS	No
bax	putative glycoside hydrolase Bax	No
baxL	putative translational regulatory protein BaxL	No
bcp	thiol peroxidase	No
bcr	multidrug efflux pump Bcr	No
bcsA	cellulose synthase catalytic subunit	No
bcsB	cellulose synthase periplasmic subunit	No
bcsC	cellulose synthase outer membrane channel	No
bcsE	c-di-GMP-binding protein BcsE	No
bcsF	putative cellulose biosynthesis protein BcsF	No
bcsG	cellulose phosphoethanolamine transferase	No
bcsZ	endo-1,4-D-glucanase	No
bdcA	c-di-GMP-binding biofilm dispersal mediator	No
bdcR	putative transcriptional regulator BdcR	No
bdm	biofilm-dependent modulation protein	No
beeE	protein BeeE	No
bepA	beta-barrel assembly-enhancing protease	No
betA	choline dehydrogenase	No
betB	betaine aldehyde dehydrogenase	No
betI	DNA-binding transcriptional repressor BetI	No
betT	choline:H(+) symporter	No
bfd	bacterioferritin-associated ferredoxin	No
bfr	bacterioferritin	No
bglA	6-phospho-beta-glucosidase A	No
bglB	cryptic 6-phospho-beta-glucosidase B	No
bglF	cryptic beta-glucoside specific PTS enzyme	No
bglG	transcriptional antiterminator BglG	No
bglH	cryptic carbohydrate-specific outer membrane	No
bglJ	DNA-binding transcriptional regulator BglJ	No
bglX	putative periplasmic glycoside hydrolase	No
bhsA	DUF1471 domain-containing multiple stress	No
bhsB	small RNA BhsB	No
bidA	dethiobiotin synthetase BidA	No
bioA	adenosylmethionine-8-amino-7-oxononanoate	No
bioB	biotin synthase	No
bioC	malonyl-acyl carrier protein methyltransferase	No
bioD	dethiobiotin synthetase	No
bioF	8-amino-7-oxononanoate synthase	No
bioH	pimeloyl-acyl carrier protein methyl ester	No
bioP	biotin transporter	No
bipA	50S ribosomal subunit assembly factor BipA	No
birA	DNA-binding transcriptional	No
bisC	biotin sulfoxide reductase	No
blc	outer membrane lipocalin protein	No
blr	beta-lactam resistance protein	No
bluF	blue light- and temperature-regulated	No
bluR	DNA-binding transcriptional repressor BluR	No
bolA	DNA-binding transcriptional dual regulator BolA	No
borD	prophage lipoprotein BorD	No
brnQ	branched chain amino acid transporter BrnQ	No
bsmA	DUF1471 domain-containing putative lipoprotein	No
bssR	regulator of biofilm formation	No
bssS	regulator of biofilm formation	No
btsR	DNA-binding transcriptional dual regulator BtsR	No
btsS	high-affinity pyruvate receptor	No
btsT	pyruvate:H(+) symporter	No
btuB	cobalamin outer membrane transporter	No
btuC	vitamin B12 ABC transporter membrane subunit	No
btuD	vitamin B12 ABC transporter ATP binding subunit	No
btuE	thioredoxin/glutathione peroxidase BtuE	No
btuF	vitamin B12 ABC transporter periplasmic binding	No
btuR	cobinamide/cobalamin adenosyltransferase	No
cadA	lysine decarboxylase 1	No
cadB	lysine:cadaverine antiporter	No
cadC	DNA-binding transcriptional activator CadC	No
caiA	crotonobetainyl-CoA reductase	No
caiB	gamma-butyrobetainyl-CoA:carnitine CoA	No
caiC	carnitine--CoA ligase	No
caiD	crotonobetainyl-CoA hydratase	No
caiE	putative transferase CaiE	No
caiF	DNA-binding transcriptional activator CaiF	No
caiT	L-carnitine:gamma-butyrobetaine antiporter	No
can	carbonic anhydrase 2	No
carA	carbamoyl-phosphate synthetase small subunit	No
carB	carbamoyl-phosphate synthetase large subunit	No
cas1	multifunctional nuclease Cas1	No
cas2	CRISPR-associated endoribonuclease Cas2	No
cas3	CRISPR-associated endonuclease/helicase Cas3	No
casA	type I-E CRISPR system Cascade subunit CasA	No
casB	type I-E CRISPR system Cascade subunit CasB	No
casC	type I-E CRISPR system Cascade subunit CasC	No
casD	type I-E CRISPR system Cascade subunit CasD	No
casE	pre-CRISPR RNA endonuclease	No
cbeA	cytoskeleton bundling-enhancing antitoxin CbeA	Yes
cbl	DNA-binding transcriptional activator Cbl	No
cbpA	curved DNA-binding protein	No
cbpM	chaperone modulator CbpM	No
cbrA	colicin M resistance protein	No
cbrB	putative inner membrane protein	No
cbrC	PF03691 family colicin E2 tolerance protein	No
cbtA	cytoskeleton-binding toxin CbtA	Yes
cca	fused CCA tRNA	No
ccmA	cytochrome c maturation protein A	No
ccmB	cytochrome c maturation protein B	No
ccmC	cytochrome c maturation protein C	No
ccmD	cytochrome c maturation protein D	No
ccmE	periplasmic heme chaperone	No
ccmF	holocytochrome c synthase CcmF component	No
ccmG	thiol:disulfide oxidoreductase CcmG	No
ccmH	holocytochrome c synthase CcmH component	No
ccp	cytochrome c peroxidase	No
cdaR	DNA-binding transcriptional activator CdaR	No
cdd	cytidine/deoxycytidine deaminase	No
cdgI	putative c-di-GMP binding protein CdgI	No
cdh	CDP-diacylglycerol diphosphatase	No
cdsA	CDP-diglyceride synthetase	No
cecR	DNA-binding transcriptional dual regulator CecR	No
cedA	cell division modulator	No
cfa	cyclopropane fatty acyl phospholipid synthase	No
chaA	Na(+)/K(+):H(+) antiporter ChaA	No
chaB	putative cation transport regulator ChaB	No
chaC	glutathione-specific	No
chbA	N,N'-diacetylchitobiose-specific PTS enzyme IIA	No
chbB	N,N'-diacetylchitobiose-specific PTS enzyme IIB	No
