Gene	Product	Virulence?
priC	primosomal replication protein N''	No
prkB	putative phosphoribulokinase	No
prlC	oligopeptidase A	No
prlF	antitoxin PrlF	Yes
prmA	ribosomal protein L11 methyltransferase	No
prmB	ribosomal protein L3 N(5)-glutamine	No
prmC	protein-(glutamine-N(5)) methyltransferase	No
proA	glutamate-5-semialdehyde dehydrogenase	No
proB	glutamate 5-kinase	No
proC	pyrroline-5-carboxylate reductase	No
proK	tRNA-Pro	No
proL	tRNA-Pro	No
proM	tRNA-Pro	No
proP	osmolyte:H(+) symporter ProP	No
proQ	RNA chaperone ProQ	No
proS	proline--tRNA ligase	No
proV	glycine betaine ABC transporter ATP binding	No
proW	glycine betaine ABC transporter membrane subunit	No
proX	glycine betaine ABC transporter periplasmic	No
proY	putative transporter ProY	No
prpB	2-methylisocitrate lyase	No
prpC	2-methylcitrate synthase	No
prpD	2-methylcitrate dehydratase	No
prpE	propionyl-CoA synthetase	No
prpR	DNA-binding transcriptional dual regulator PrpR	No
prs	ribose-phosphate diphosphokinase	No
psd	phosphatidylserine decarboxylase proenzyme	No
psiE	putative phosphate starvation-inducible protein	No
psiF	phosphate starvation-inducible protein PsiF	No
pspA	phage shock protein A	No
pspB	phage shock protein B	No
pspC	phage shock protein C	No
pspD	phage shock protein D	No
pspE	thiosulfate sulfurtransferase PspE	No
pspF	DNA-binding transcriptional dual regulator PspF	No
pspG	phage shock protein G	No
pspH	small regulatory RNA PspH	No
pssA	phosphatidylserine synthase	No
pssL	protein PssL	No
pstA	phosphate ABC transporter membrane subunit PstA	No
pstB	phosphate ABC transporter ATP binding subunit	No
pstC	phosphate ABC transporter membrane subunit PstC	No
pstS	phosphate ABC transporter periplasmic binding	No
psuG	pseudouridine-5'-phosphate glycosidase	No
psuK	putative pseudouridine kinase	No
psuT	putative pseudouridine transporter	No
pta	phosphate acetyltransferase	No
pth	peptidyl-tRNA hydrolase	No
ptrA	protease 3	No
ptrB	oligopeptidase B	No
ptrR	putrescine utilization regulator PtrR	No
ptsA	putative PTS multiphosphoryl transfer protein	No
ptsG	glucose-specific PTS enzyme IIBC component	No
ptsH	phosphocarrier protein HPr	No
ptsI	PTS enzyme I	No
ptsN	phosphotransferase system enzyme IIA(Ntr)	No
ptsP	phosphoenolpyruvate-protein phosphotransferase	No
punC	purine nucleoside transporter PunC	No
punR	DNA-binding transcriptional activator PunR	No
purA	adenylosuccinate synthetase	No
purB	adenylosuccinate lyase	No
purC	phosphoribosylaminoimidazole-succinocarboxamide	No
purD	phosphoribosylamine--glycine ligase	No
purE	N(5)-carboxyaminoimidazole ribonucleotide	No
purF	amidophosphoribosyltransferase	No
purH	bifunctional AICAR transformylase/IMP	No
purK	5-(carboxyamino)imidazole ribonucleotide	No
purL	phosphoribosylformylglycinamide synthetase	No
purM	phosphoribosylformylglycinamide cyclo-ligase	No
purN	phosphoribosylglycinamide formyltransferase 1	No
purR	DNA-binding transcriptional repressor PurR	No
purT	phosphoribosylglycinamide formyltransferase 2	No
purU	formyltetrahydrofolate deformylase	No
putA	fused DNA-binding transcriptional	No
putP	proline:Na(+) symporter	No
puuA	glutamate-putrescine ligase	No
puuB	gamma-glutamylputrescine oxidase	No
puuC	gamma-glutamyl-gamma-aminobutyraldehyde	No
puuD	gamma-glutamyl-gamma-aminobutyrate hydrolase	No
puuE	4-aminobutyrate aminotransferase PuuE	No
puuP	putrescine:H(+) symporter PuuP	No
puuR	DNA-binding transcriptional repressor PuuR	No
pxpA	5-oxoprolinase component A	No
pxpB	5-oxoprolinase component B	No
pxpC	5-oxoprolinase component C	No
pykA	pyruvate kinase 2	No
pykF	pyruvate kinase 1	No
pyrB	aspartate carbamoyltransferase catalytic	No
pyrC	dihydroorotase	No
pyrD	dihydroorotate dehydrogenase, type 2	No
pyrE	orotate phosphoribosyltransferase	No
pyrF	orotidine-5'-phosphate decarboxylase	No
pyrG	CTP synthetase	No
pyrH	UMP kinase	No
pyrI	aspartate carbamoyltransferase, PyrI subunit	No
pyrL	pyrBI operon leader peptide	No
pyrR	DNA-binding transcriptional activator PyrR	No
pyrS	sensor histidine kinase PyrS	No
qmcA	PHB domain-containing protein QmcA	No
qorA	putative quinone oxidoreductase 1	No
qorB	NAD(P)H:quinone oxidoreductase	No
qseB	DNA-binding transcriptional activator QseB	No
qseC	sensor histidine kinase QseC	No
qseG	outer membrane lipoprotein QseG	No
queA	tRNA preQ1(34) S-adenosylmethionine	No
queC	7-cyano-7-deazaguanine synthase	No
queD	6-carboxy-5,6,7,8-tetrahydropterin synthase	No
queE	putative 7-carboxy-7-deazaguanine synthase QueE	No
queF	7-cyano-7-deazaguanine reductase	No
queG	epoxyqueuosine reductase	No
quuD	prophage antitermination protein Q homolog QuuD	No
racC	protein RacC	No
racR	DNA-binding transcriptional regulator RacR	No
radA	DNA recombination protein	No
radD	DNA repair helicase RadD	No
raiA	ribosome-associated inhibitor A	No
raiZ	small RNA RaiZ	No
ralA	small regulatory RNA antitoxin RalA	Yes
ralR	endodeoxyribonuclease toxin RalR	Yes
rapA	RNA polymerase-binding ATPase and RNAP recycling	No
rapZ	RNase adaptor protein RapZ	No
rarA	replication-associated recombination protein A	No
rarD	putative transporter RarD	No
ratA	ribosome association toxin RatA	Yes
ravA	regulatory ATPase RavA	No
rayT	REP-associated tyrosine transposase	No
rbbA	ribosome-associated ATPase	No
rbfA	30S ribosome binding factor	No
rbn	ribonuclease BN	No
rbsA	ribose ABC transporter ATP binding subunit	No
rbsB	ribose ABC transporter periplasmic binding	No
rbsC	ribose ABC transporter membrane subunit	No
rbsD	D-ribose pyranase	No
rbsK	ribokinase	No
rbsR	DNA-binding transcriptional dual regulator RbsR	No
rbsZ	small regulatory RNA RbsZ	No
rcbA	double-strand break reduction protein	No
rcdA	DNA binding transcriptional dual regulator RcdA	No
rcdB	putative DNA-binding transcriptional regulator	No
rclA	cupric reductase RclA	No
rclB	hypochlorite stress response protein RclB	No
rclC	DUF417 domain-containing inner membrane protein	No
rclR	DNA-binding transcriptional activator RclR	No
rcnA	Ni(2(+))/Co(2(+)) exporter	No
rcnB	periplasmic protein involved in Ni/Co export	No
rcnR	DNA-binding transcriptional repressor RcnR	No
rcsA	DNA-binding transcriptional activator RcsA	No
rcsB	DNA-binding transcriptional activator RcsB	No
rcsC	histidine kinase RcsC	No
rcsD	RcsD phosphotransferase	No
rcsF	sensor lipoprotein RcsF	No
rdcA	regulator of diguanylate cyclase RdcA	No
rdcB	regulator of diguanylate cyclase RdcB	No
rdgB	dITP/XTP pyrophosphatase	No
rdgC	nucleoid-associated protein RdgC	No
rdlA	putative antisense regulatory RNA RdlA	No
rdlB	putative antisense regulatory RNA RdlB	No
rdlC	putative antisense regulatory RNA RdlC	No
rdlD	antisense regulatory RNA RdlD	No
recA	DNA recombination/repair protein RecA	No
recB	exodeoxyribonuclease V subunit RecB	No
recC	exodeoxyribonuclease V subunit RecC	No
recD	exodeoxyribonuclease V subunit RecD	No
recE	exonuclease VIII, ds DNA exonuclease, 5' --> 3'	No
recF	recombination mediator protein RecF	No
recG	ATP-dependent DNA helicase RecG	No
recJ	ssDNA-specific exonuclease RecJ	No
recN	DNA repair protein RecN	No
recO	recombination mediator protein RecO	No
recQ	ATP-dependent DNA helicase RecQ	No
recR	recombination mediator protein RecR	No
recT	recombinase RecT	No
recX	RecA inhibitor RecX	No
relA	GDP/GTP pyrophosphokinase	No
relB	antitoxin/DNA-binding transcriptional repressor	Yes
relE	mRNA interferase toxin RelE	Yes
rem	protein Rem	No
renD	DLP12 prophage; protein RenD	No
rep	ATP-dependent DNA helicase Rep	No
rfaD	ADP-L-glycero-D-mannoheptose 6-epimerase	No
rfaH	transcription antiterminator RfaH	No
rfbA	glucose-1-phosphate thymidylyltransferase 1	No
rfbB	dTDP-glucose 4,6-dehydratase 1	No
rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	No
rfbD	dTDP-4-dehydrorhamnose reductase	No
rfbX	polyisoprenol-linked O16-antigen repeat unit	No
rffC	dTDP-4-amino-4,6-dideoxy-D-galactose	No
rffG	dTDP-glucose 4,6-dehydratase 2	No
rffH	glucose-1-phosphate thymidylyltransferase 2	No
rffM	UDP-N-acetyl-D-mannosaminuronic acid	No
rflP	anti-FlhDC factor RflP	No
rhaA	L-rhamnose isomerase	No
rhaB	rhamnulokinase	No
rhaD	rhamnulose-1-phosphate aldolase	No
rhaM	L-rhamnose mutarotase	No
rhaR	DNA-binding transcriptional activator RhaR	No
rhaS	DNA-binding transcriptional activator RhaS	No
rhaT	rhamnose/lyxose:H(+) symporter	No
rhlB	ATP-dependent RNA helicase RhlB	No
rhlE	ATP-dependent RNA helicase RhlE	No
rhmD	L-rhamnonate dehydratase	No
rho	transcription termination factor Rho	No
rhoL	rho operon leader peptide	No
rhsA	rhs element protein RhsA	No
rhsB	rhs element protein RhsB	No
rhsC	rhs element protein RhsC	No
rhsD	protein RhsD	No
rhtA	L-threonine/L-homoserine exporter	No
rhtB	L-homoserine/L-homoserine lactone/L-threonine	No
rhtC	L-threonine exporter	No
ribA	GTP cyclohydrolase 2	No
ribB	3,4-dihydroxy-2-butanone-4-phosphate synthase	No
ribC	riboflavin synthase	No
ribD	fused	No
ribE	6,7-dimethyl-8-ribityllumazine synthase	No
ribF	bifunctional riboflavin kinase/FMN	No
ridA	enamine/imine deaminase, redox-regulated	No
rihA	pyrimidine-specific ribonucleoside hydrolase	No
rihB	pyrimidine-specific ribonucleoside hydrolase	No
rihC	ribonucleoside hydrolase RihC	No
rimI	protein N-acetyltransferase RimI	No
rimJ	ribosomal-protein-S5-alanine	No
rimK	ribosomal protein S6 modification protein	No
rimL	ribosomal-protein-L12-serine	No
rimM	ribosome maturation factor RimM	No
rimO	ribosomal protein S12 methylthiotransferase	No
rimP	ribosome maturation factor RimP	No
rirA	small regulatory RNA RirA	No
rlhA	23S rRNA 5-hydroxycytidine C2501 synthase	No
rlmA	23S rRNA m(1)G745 methyltransferase	No
rlmB	23S rRNA 2'-O-ribose G2251 methyltransferase	No
rlmC	23S rRNA m(5)U747 methyltransferase	No
rlmD	23S rRNA m(5)U1939 methyltransferase	No
rlmE	23S rRNA 2'-O-ribose U2552 methyltransferase	No
rlmF	23S rRNA m(6)A1618 methyltransferase	No
rlmG	23S rRNA m(2)G1835 methyltransferase	No
rlmH	23S rRNA m(3)psi1915 methyltransferase	No
rlmI	23S rRNA m(5)C1962 methyltransferase	No
rlmJ	23S rRNA m(6)A2030 methyltransferase	No
rlmL	fused 23S rRNA m(2)G2445 methyltransferase and	No
rlmM	23S rRNA 2'-O-ribose C2498 methyltransferase	No
rlmN	23S rRNA m(2)A2503 methyltransferase/tRNA	No
rlpA	rare lipoprotein RlpA	No
rluA	23S rRNA pseudouridine(746) and tRNA	No
rluB	23S rRNA pseudouridine(2605) synthase	No
rluC	23S rRNA pseudouridine(955/2504/2580) synthase	No
rluD	23S rRNA pseudouridine(1911/1915/1917) synthase	No
rluE	23S rRNA pseudouridine(2457) synthase	No
rluF	23S rRNA pseudouridine(2604) and tRNA(Tyr)	No
rmf	ribosome modulation factor	No
rmuC	putative recombination limiting protein RmuC	No
rna	RNase I	No
rnb	RNase II	No
rnc	RNase III	No
rnd	RNase D	No
rne	ribonuclease E	No
rng	RNase G	No
rnhA	ribonuclease HI	No
rnhB	RNase HII	No
rnk	nucleoside diphosphate kinase regulator	No
rnlA	RNase LS, toxin of the RnlAB toxin-antitoxin	Yes
rnlB	antitoxin RnlB	Yes
rnm	RNase AM	No
rnpA	RNase P protein component	No
rnpB	RNase P catalytic RNA component	No
rnr	RNase R	No
rnt	ribonuclease T	No
rob	DNA-binding transcriptional dual regulator Rob	No
rodZ	cytoskeleton protein RodZ	No
rof	modulator of Rho-dependent transcription	No
roxA	50S ribosomal protein L16-arginine	No
rpe	ribulose-phosphate 3-epimerase	No
rph	truncated RNase PH	No
rpiA	ribose-5-phosphate isomerase A	No
rpiB	allose-6-phosphate isomerase/ribose-5-phosphate	No
rplA	50S ribosomal subunit protein L1	No
rplB	50S ribosomal subunit protein L2	No
rplC	50S ribosomal subunit protein L3	No
rplD	50S ribosomal subunit protein L4	No
rplE	50S ribosomal subunit protein L5	No
rplF	50S ribosomal subunit protein L6	No
rplI	50S ribosomal subunit protein L9	No
rplJ	50S ribosomal subunit protein L10	No
rplK	50S ribosomal subunit protein L11	No
rplL	50S ribosomal subunit protein L12	No
rplM	50S ribosomal subunit protein L13	No
rplN	50S ribosomal subunit protein L14	No
rplO	50S ribosomal subunit protein L15	No
rplP	50S ribosomal subunit protein L16	No
rplQ	50S ribosomal subunit protein L17	No
rplR	50S ribosomal subunit protein L18	No
rplS	50S ribosomal subunit protein L19	No
rplT	50S ribosomal subunit protein L20	No
rplU	50S ribosomal subunit protein L21	No
rplV	50S ribosomal subunit protein L22	No
rplW	50S ribosomal subunit protein L23	No
rplX	50S ribosomal subunit protein L24	No
rplY	50S ribosomal subunit protein L25	No
rpmA	50S ribosomal subunit protein L27	No
rpmB	50S ribosomal subunit protein L28	No
rpmC	50S ribosomal subunit protein L29	No
rpmD	50S ribosomal subunit protein L30	No
rpmE	50S ribosomal subunit protein L31	No
rpmF	50S ribosomal subunit protein L32	No
rpmG	50S ribosomal subunit protein L33	No
rpmH	50S ribosomal subunit protein L34	No
rpmI	50S ribosomal subunit protein L35	No
rpmJ	50S ribosomal subunit protein L36	No
rpnA	recombination-promoting nuclease RpnA	No
rpnB	recombination-promoting nuclease RpnB	No
rpnC	recombination-promoting nuclease RpnC	No
rpnE	inactive recombination-promoting nuclease-like	No
rpoA	RNA polymerase subunit alpha	No
rpoB	RNA polymerase subunit beta	No
rpoC	RNA polymerase subunit beta'	No
rpoD	RNA polymerase sigma factor RpoD	No
rpoE	RNA polymerase sigma factor RpoE	No
rpoH	RNA polymerase sigma factor RpoH	No
rpoN	RNA polymerase sigma factor RpoN	No
rpoS	RNA polymerase sigma factor RpoS	No
rpoZ	RNA polymerase subunit omega	No
rppH	RNA pyrophosphohydrolase	No
rprA	small regulatory RNA RprA	No
rpsA	30S ribosomal subunit protein S1	No
rpsB	30S ribosomal subunit protein S2	No
rpsC	30S ribosomal subunit protein S3	No
rpsD	30S ribosomal subunit protein S4	No
rpsE	30S ribosomal subunit protein S5	No
rpsF	30S ribosomal subunit protein S6	No
rpsG	30S ribosomal subunit protein S7	No
rpsH	30S ribosomal subunit protein S8	No
rpsI	30S ribosomal subunit protein S9	No
rpsJ	30S ribosomal subunit protein S10	No
rpsK	30S ribosomal subunit protein S11	No
rpsL	30S ribosomal subunit protein S12	No
rpsM	30S ribosomal subunit protein S13	No
rpsN	30S ribosomal subunit protein S14	No
rpsO	30S ribosomal subunit protein S15	No
rpsP	30S ribosomal subunit protein S16	No
rpsQ	30S ribosomal subunit protein S17	No
rpsR	30S ribosomal subunit protein S18	No
rpsS	30S ribosomal subunit protein S19	No
rpsT	30S ribosomal subunit protein S20	No
rpsU	30S ribosomal subunit protein S21	No
rraA	ribonuclease E inhibitor protein A	No
rraB	ribonuclease E inhibitor protein B	No
rrfA	5S ribosomal RNA	No
rrfB	5S ribosomal RNA	No
rrfC	5S ribosomal RNA	No
rrfD	5S ribosomal RNA	No
rrfE	5S ribosomal RNA	No
rrfF	5S ribosomal RNA	No
rrfG	5S ribosomal RNA	No
rrfH	5S ribosomal RNA	No
rrlA	23S ribosomal RNA	No
rrlB	23S ribosomal RNA	No
rrlC	23S ribosomal RNA	No
rrlD	23S ribosomal RNA	No
rrlE	23S ribosomal RNA	No
rrlG	23S ribosomal RNA	No
rrlH	23S ribosomal RNA	No
rrrD	lysozyme	No
rrrQ	putative lysozyme	No
rrsA	16S ribosomal RNA	No
rrsB	16S ribosomal RNA	No
rrsC	16S ribosomal RNA	No
rrsD	16S ribosomal RNA	No
rrsE	16S ribosomal RNA	No
rrsG	16S ribosomal RNA	No
rrsH	16S ribosomal RNA	No
rsd	regulator of sigma D	No
rseA	anti-sigma-E factor RseA	No
rseB	anti-sigma factor stabilizing protein RseB	No
rseC	regulatory protein RseC	No
rseD	rpoE leader peptide	No
rseP	intramembrane zinc metalloprotease RseP	No
rseX	small regulatory RNA RseX	No
rsfS	ribosomal silencing factor RsfS	No
rsgA	ribosome small subunit-dependent GTPase A	No
rsmA	16S rRNA	No
rsmB	16S rRNA m(5)C967 methyltransferase	No
rsmC	16S rRNA m(2)G1207 methyltransferase	No
rsmD	16S rRNA m(2)G966 methyltransferase	No
rsmE	16S rRNA m(3)U1498 methyltransferase	No
rsmF	16S rRNA m(5)C1407 methyltransferase	No
rsmG	16S rRNA m(7)G527 methyltransferase	No
rsmH	16S rRNA m(4)C1402 methyltransferase	No
rsmI	16S rRNA 2'-O-ribose C1402 methyltransferase	No
rsmJ	16S rRNA m(2)G1516 methyltransferase	No
rspA	mandelate racemase/muconate lactonizing enzyme	No
rspB	putative zinc-binding dehydrogenase RspB	No
rspR	DNA-binding transcriptional repressor RspR	No
rssA	putative patatin-like phospholipase RssA	No
rssB	regulator of RpoS	No
rstA	DNA-binding transcriptional regulator RstA	No
rstB	sensor histidine kinase RstB	No
rsuA	16S rRNA pseudouridine(516) synthase	No
rsxA	SoxR [2Fe-2S] reducing system protein RsxA	No
rsxB	SoxR [2Fe-2S] reducing system protein RsxB	No
rsxC	SoxR [2Fe-2S] reducing system protein RsxC	No
rsxD	SoxR [2Fe-2S] reducing system protein RsxD	No
rsxE	SoxR [2Fe-2S] reducing system protein RsxE	No
rsxG	SoxR [2Fe-2S] reducing system flavoprotein RsxG	No
rtcA	RNA 3'-terminal phosphate cyclase	No
rtcB	RNA-splicing ligase	No
rtcR	DNA-binding transcriptional activator RtcR	No
rttR	small RNA RttR	No
rusA	crossover junction endodeoxyribonuclease RusA	No
rutA	pyrimidine monooxygenase RutA	No
rutB	ureidoacrylate amidohydrolase	No
rutC	3-aminoacrylate deaminase	No
rutD	putative aminoacrylate hydrolase RutD	No
rutE	putative malonic semialdehyde reductase	No
rutF	FMN reductase RutF	No
rutG	pyrimidine:H(+) symporter	No
rutR	DNA-binding transcriptional regulator RutR	No
ruvA	Holliday junction branch migration complex	No
ruvB	Holliday junction branch migration complex	No
ruvC	crossover junction endodeoxyribonuclease RuvC	No
rybA	small RNA RybA	No
rybB	small regulatory RNA RybB	No
rydB	small regulatory RNA RydB	No
rydC	small regulatory RNA RydC	No
ryeA	small antisense RNA RyeA	No
ryfA	small regulatory RNA RyfA	No
ryfD	small regulatory RNA RyfD	No
ryhB	small regulatory RNA RyhB	No
ryjA	small RNA RyjA	No
ryjB	small RNA RyjB	No
rzoD	putative prophage lysis lipoprotein RzoD	No
rzoQ	putative lipoprotein RzoQ	No
rzoR	putative prophage outer membrane lipoprotein	No
rzpD	putative prophage endopeptidase RzpD	No
rzpQ	DUF2514 domain-containing protein RzpQ	No
sad	succinate semialdehyde dehydrogenase (NAD(P)(+))	No
safA	two-component system connector SafA	No
sanA	DUF218 domain-containing protein SanA	No
sapA	putative periplasmic binding protein SapA	No
sapB	putrescine ABC exporter membrane subunit SapB	No
sapC	putrescine ABC exporter membrane protein SapC	No
sapD	putrescine ABC exporter ATP binding protein	No
sapF	putrescine ABC exporter ATP binding protein	No
satP	acetate/succinate:H(+) symporter	No
sbcB	exodeoxyribonuclease I	No
sbcC	ATP-dependent structure-specific DNA nuclease -	No
sbcD	ATP-dependent structure-specific DNA nuclease -	No
sbmA	peptide antibiotic/peptide nucleic acid	No
sbmC	DNA gyrase inhibitor	No
sbp	sulfate/thiosulfate ABC transporter periplasmic	No
scpA	methylmalonyl-CoA mutase	No
scpB	methylmalonyl-CoA decarboxylase	No
scpC	propionyl-CoA:succinate CoA transferase	No
sdaA	L-serine deaminase I	No
sdaB	L-serine deaminase II	No
sdaC	L-serine:H(+) symporter	No
sdhA	succinate:quinone oxidoreductase, FAD binding	No
sdhB	succinate:quinone oxidoreductase, [Fe-S] cluster	No
sdhC	succinate:quinone oxidoreductase, membrane	No
sdhD	succinate:quinone oxidoreductase, membrane	No
sdhE	FAD assembly factor	No
sdhX	small regulatory RNA SdhX	No
sdiA	DNA-binding transcriptional dual regulator SdiA	No
sdsN	small regulatory RNA SdsN	No
sdsR	small regulatory RNA SdsR	No
secA	protein translocation ATPase	No
secB	protein export chaperone SecB	No
secD	Sec translocon accessory complex subunit SecD	No
secE	Sec translocon subunit SecE	No
secF	Sec translocon accessory complex subunit SecF	No
secG	Sec translocon subunit SecG	No
secM	SecA translation regulator	No
secY	Sec translocon subunit SecY	No
selA	selenocysteine synthase	No
selB	selenocysteyl-tRNA-specific translation	No
selC	tRNA-Sec	No
selD	selenide, water dikinase	No
selO	protein adenylyltransferase SelO	No
selU	tRNA 2-selenouridine synthase	No
seqA	negative modulator of initiation of replication	No
serA	phosphoglycerate dehydrogenase	No
serB	phosphoserine phosphatase	No
serC	phosphoserine/phosphohydroxythreonine	No
serS	serine--tRNA ligase	No
serT	tRNA-Ser	No
serU	tRNA-Ser	No
serV	tRNA-Ser	No
serW	tRNA-Ser	No
serX	tRNA-Ser	No
setA	sugar exporter SetA	No
setB	sugar exporter SetB	No
setC	putative exporter SetC	No
sfmA	putative fimbrial protein SfmA	No
sfmC	putative fimbrial chaperone SfmC	No
sfmD	putative fimbrial usher protein SfmD	No
sfmF	putative fimbrial protein SfmF	No
sfmH	putative fimbrial adhesin protein SfmH	No
sfsA	sugar fermentation stimulation protein A	No
sfsB	putative transcriptional regulator SfsB	No
sgbE	L-ribulose-5-phosphate 4-epimerase SgbE	No
sgbH	3-keto-L-gulonate-6-phosphate decarboxylase	No
sgbU	putative L-xylulose 5-phosphate 3-epimerase	No
sgcA	putative PTS enzyme IIA component SgcA	No
sgcB	putative PTS enzyme IIB component SgcB	No
sgcC	putative PTS enzyme IIC component SgcC	No
sgcE	putative epimerase SgcE	No
sgcQ	putative nucleoside triphosphatase	No
sgcR	putative DNA-binding transcriptional regulator	No
sgcX	putative endoglucanase with Zn-dependent	No
sgrR	DNA-binding transcriptional dual regulator SgrR	No
sgrS	small regulatory RNA SgrS	No
sgrT	PtsG glucose transporter inhibitor	No
shiA	shikimate:H(+) symporter	No
shoB	toxic peptide ShoB	No
sibA	small RNA SibA	No
sibB	small RNA SibB	No
sibC	small regulatory RNA antitoxin SibC	Yes
sibD	small RNA SibD	No
sibE	small RNA SibE	No
sieB	phage superinfection exclusion protein	No
sixA	phosphohistidine phosphatase SixA	No
skp	periplasmic chaperone Skp	No
slmA	nucleoid occlusion factor SlmA	No
slp	starvation lipoprotein	No
slt	soluble lytic murein transglycosylase	No
slyA	DNA-binding transcriptional dual regulator SlyA	No
slyB	outer membrane lipoprotein SlyB	No
slyD	FKBP-type peptidyl-prolyl cis-trans isomerase	No
slyX	protein SlyX	No
smf	protein Smf	No
smg	DUF494 domain-containing protein Smg	No
smpB	SsrA-binding protein	No
smrA	DNA endonuclease SmrA	No
smrB	ribosome rescue factor SmrB	No
sodA	superoxide dismutase (Mn)	No
sodB	superoxide dismutase (Fe)	No
sodC	superoxide dismutase (Cu-Zn)	No
sohB	S49 peptidase family protein	No
sokB	putative small regulatory RNA antitoxin SokB	Yes
sokC	small regulatory RNA antitoxin SokC	Yes
sokE	small RNA SokE	No
sokX	small RNA SokX	No
solA	N-methyl-L-tryptophan oxidase	No
soxR	DNA-binding transcriptional dual regulator SoxR	No
soxS	DNA-binding transcriptional dual regulator SoxS	No
speA	biosynthetic arginine decarboxylase	No
speB	agmatinase	No
speC	constitutive ornithine decarboxylase	No
speD	S-adenosylmethionine decarboxylase proenzyme	No
speE	spermidine synthase	No
speF	inducible ornithine decarboxylase	No
speFL	leader peptide SpeFL	No
speG	spermidine N-acetyltransferase	No
spf	small regulatory RNA Spot 42	No
spfP	dual-function small protein SpfP	No
spoT	bifunctional (p)ppGpp synthase/hydrolase SpoT	No
sppA	protease IV, a signal peptide peptidase	No
spy	ATP-independent periplasmic chaperone	No
sra	ribosome-associated protein Sra	No
sraB	small RNA SraB	No
sraG	small regulatory RNA SraG	No
srkA	stress response kinase A	No
srlA	sorbitol-specific PTS enzyme IIC2 component	No
srlB	sorbitol-specific PTS enzyme IIA component	No
srlD	sorbitol-6-phosphate 2-dehydrogenase	No
srlE	sorbitol-specific PTS enzyme IIBC1 component	No
srlR	DNA-binding transcriptional repressor SrlR	No
srmB	ATP-dependent RNA helicase SrmB	No
sroA	small RNA SroA	No
sroC	small regulatory RNA SroC	No
sroE	small RNA SroE	No
sroH	small RNA SroH	No
srsR	DNA-binding transcriptional activator YgfI	No
ssb	ssDNA-binding protein	No
sseA	3-mercaptopyruvate sulfurtransferase	No
sseB	protein SseB	No
ssnA	putative aminohydrolase SsnA	No
sspA	stringent starvation protein A	No
sspB	ClpXP protease specificity-enhancing factor	No
ssrS	6S RNA	No
sstT	serine/threonine:Na(+) symporter	No
ssuA	aliphatic sulfonate ABC transporter periplasmic	No
ssuB	aliphatic sulfonate ABC transporter ATP binding	No
ssuC	aliphatic sulfonate ABC transporter membrane	No
ssuD	FMNH2-dependent alkanesulfonate monooxygenase	No
ssuE	NADPH-dependent FMN reductase	No
stfQ	putative prophage side tail fiber protein StfQ	No
stfR	putative prophage side tail fiber protein StfR	No
stfZ	small antisense RNA StfZ	No
sthA	soluble pyridine nucleotide transhydrogenase	No
stpA	DNA-binding transcriptional repressor StpA with	No
sucA	subunit of E1(0) component of 2-oxoglutarate	No
sucB	2-oxoglutarate dehydrogenase E2 subunit	No
sucC	succinyl-CoA synthetase subunit beta	No
sucD	succinyl-CoA synthetase subunit alpha	No
sufA	iron-sulfur cluster insertion protein SufA	No
sufB	Fe-S cluster scaffold complex subunit SufB	No
sufC	Fe-S cluster scaffold complex subunit SufC	No
sufD	Fe-S cluster scaffold complex subunit SufD	No
sufE	sulfur carrier protein SufE	No
sufS	L-cysteine desulfurase	No
suhB	Nus factor SuhB	No
sulA	cell division inhibitor SulA	No
surA	chaperone SurA	No
sutR	DNA-binding transcriptional dual regulator SutR	No
sxy	transcriptional coactivator for CRP	No
syd	SecY-interacting protein	No
symE	nucleoid-associated protein SymE	No
symR	small regulatory RNA antitoxin SymR	Yes
tabA	DUF386 domain-containing toxin-antitoxin biofilm	Yes
tadA	tRNA adenosine(34) deaminase	No
tag	3-methyl-adenine DNA glycosylase I,	No
talA	transaldolase A	No
talB	transaldolase B	No
tam	trans-aconitate 2-methyltransferase	No
tamA	translocation and assembly module subunit TamA	No
tamB	translocation and assembly module subunit TamB	No
tap	methyl-accepting chemotaxis protein Tap	No
tapT	tRNA 3-amino-3-carboxypropyltransferase	No
tar	methyl-accepting chemotaxis protein Tar	No
tas	putative NADP(H)-dependent aldo-keto reductase	No
tatA	twin arginine protein translocation system -	No
tatB	twin arginine protein translocation system -	No
tatC	twin arginine protein translocation system -	No
tatD	3' -> 5' ssDNA/RNA exonuclease TatD	No
tatE	twin arginine protein translocation system -	No
tauA	taurine ABC transporter periplasmic binding	No
tauB	taurine ABC transporter ATP binding subunit	No
tauC	taurine ABC transporter membrane subunit	No
tauD	taurine dioxygenase	No
tcdA	tRNA threonylcarbamoyladenosine dehydratase	No
tcyJ	cystine ABC transporter periplasmic binding	No
tcyL	cystine ABC transporter membrane subunit	No
tcyN	cystine ABC transporter ATP binding subunit	No
tcyP	cystine/sulfocysteine:cation symporter	No
tdcA	DNA-binding transcriptional activator TdcA	No
tdcB	catabolic threonine dehydratase	No
tdcC	threonine/serine:H(+) symporter TdcC	No
tdcD	propionate kinase	No
tdcE	2-oxobutanoate formate-lyase/pyruvate	No
tdcF	putative enamine/imine deaminase	No
tdcG	L-serine deaminase III	No
tdcR	DNA-binding transcriptional activator TdcR	No
tdh	threonine dehydrogenase	No
tdk	thymidine/deoxyuridine kinase	No
tehA	tellurite resistance protein	No
